metric,value
Year=2016; Rating=[750000 - 760000],2
Year=2020; Rating=[530000 - 540000],2
Year=2020; Rating=[70000 - 80000],128
Year=2020; Rating=[330000 - 340000],8
Year=2017; Rating=[220000 - 230000],21
Year=2015; Rating=[110000 - 120000],52
Year=2014; Rating=[590000 - 600000],2
Year=2018; Rating=[170000 - 180000],32
Year=2017; Rating=[110000 - 120000],58
Year=2020; Rating=[930000 - 940000],2
Year=2012; Rating=[1150000 - 1160000],4
Year=2014; Rating=[280000 - 290000],15
Year=2020; Rating=[550000 - 560000],3
Year=2015; Rating=[490000 - 500000],4
Year=2020; Rating=[290000 - 300000],11
Year=2012; Rating=[260000 - 270000],8
Year=2012; Rating=[450000 - 460000],3
Year=2010; Rating=[270000 - 280000],5
Year=2010; Rating=[30000 - 40000],65
Year=2010; Rating=[50000 - 60000],43
Year=2010; Rating=[540000 - 550000],2
Year=2021; Rating=[450000 - 460000],2
Year=2015; Rating=[430000 - 440000],7
Year=2010; Rating=[290000 - 300000],3
Year=2010; Rating=[260000 - 270000],4
Year=2010; Rating=[150000 - 160000],6
Year=2014; Rating=[130000 - 140000],53
Year=2011; Rating=[80000 - 90000],40
Year=2012; Rating=[120000 - 130000],28
Year=2013; Rating=[1510000 - 1520000],2
Year=2014; Rating=[1370000 - 1380000],1
Year=2012; Rating=[220000 - 230000],11
Year=2012; Rating=[110000 - 120000],41
Year=2011; Rating=[520000 - 530000],1
Year=2020; Rating=[110000 - 120000],60
Year=2012; Rating=[400000 - 410000],9
Year=2020; Rating=[250000 - 260000],18
Year=2011; Rating=[60000 - 70000],50
Year=2012; Rating=[60000 - 70000],89
Year=2010; Rating=[40000 - 50000],45
Year=2019; Rating=[1710000 - 1720000],1
Year=2019; Rating=[250000 - 260000],6
Year=2013; Rating=[100000 - 110000],55
Year=2013; Rating=[40000 - 50000],192
Year=2016; Rating=[330000 - 340000],10
Year=2010; Rating=[590000 - 600000],1
Year=2014; Rating=[370000 - 380000],10
Year=2013; Rating=[240000 - 250000],17
Year=2010; Rating=[1910000 - 1920000],1
Year=2018; Rating=[160000 - 170000],32
Year=2016; Rating=[350000 - 360000],7
Year=2019; Rating=[120000 - 130000],57
Year=2012; Rating=[390000 - 400000],9
Year=2011; Rating=[90000 - 100000],37
Year=2010; Rating=[100000 - 110000],9
Year=2017; Rating=[410000 - 420000],8
Year=2019; Rating=[310000 - 320000],9
Year=2015; Rating=[130000 - 140000],46
Year=2010; Rating=[210000 - 220000],10
Year=2020; Rating=[170000 - 180000],23
Year=2010; Rating=[160000 - 170000],13
Year=2013; Rating=[230000 - 240000],17
Year=2012; Rating=[130000 - 140000],27
Year=2013; Rating=[140000 - 150000],27
Year=2014; Rating=[350000 - 360000],7
Year=2021; Rating=[110000 - 120000],40
Year=2013; Rating=[280000 - 290000],9
Year=2013; Rating=[160000 - 170000],22
Year=2017; Rating=[2170000 - 2180000],1
Year=2013; Rating=[910000 - 920000],3
Year=2013; Rating=[120000 - 130000],42
Year=2013; Rating=[800000 - 810000],4
Year=2017; Rating=[280000 - 290000],14
Year=2015; Rating=[180000 - 190000],30
Year=2013; Rating=[200000 - 210000],12
Year=2013; Rating=[270000 - 280000],13
Year=2011; Rating=[200000 - 210000],7
Year=2012; Rating=[1450000 - 1460000],2
Year=2013; Rating=[370000 - 380000],7
Year=2010; Rating=[200000 - 210000],9
Year=2019; Rating=[100000 - 110000],71
Year=2010; Rating=[220000 - 230000],6
Year=2016; Rating=[320000 - 330000],15
Year=2011; Rating=[180000 - 190000],13
Year=2010; Rating=[80000 - 90000],21
Year=2016; Rating=[260000 - 270000],12
Year=2014; Rating=[180000 - 190000],25
Year=2010; Rating=[140000 - 150000],9
Year=2015; Rating=[460000 - 470000],9
Year=2016; Rating=[240000 - 250000],14
Year=2012; Rating=[180000 - 190000],13
Year=2014; Rating=[270000 - 280000],16
Year=2016; Rating=[340000 - 350000],10
Year=2012; Rating=[440000 - 450000],5
Year=2015; Rating=[240000 - 250000],24
Year=2017; Rating=[200000 - 210000],24
