metric,value
Price=[350 - 400]; Genre=SOCIAL; Installs=[0],4
Price=[0 - 50]; Genre=PARENTING; Installs=[1000000],96
Price=[0 - 50]; Genre=PHOTOGRAPHY; Installs=[1],1082
Price=[0 - 50]; Genre=TRAVEL_AND_LOCAL; Installs=[5000000],91
Price=[0 - 50]; Genre=VIDEO_PLAYERS; Installs=[1],286
Price=[0 - 50]; Genre=HOUSE_AND_HOME; Installs=[10],2153
Price=[0 - 50]; Genre=TOOLS; Installs=[50000000],110
Price=[0 - 50]; Genre=PRODUCTIVITY; Installs=[1000000],995
Price=[0 - 50]; Genre=PARENTING; Installs=[1],225
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[100000],162
Price=[50 - 100]; Genre=PRODUCTIVITY; Installs=[0],8
Price=[0 - 50]; Genre=TOOLS; Installs=[100000000],81
Price=[0 - 50]; Genre=WEATHER; Installs=[5000000],106
Price=[0 - 50]; Genre=PRODUCTIVITY; Installs=[100000],3318
Price=[0 - 50]; Genre=VIDEO_PLAYERS; Installs=[5000],1198
Price=[100 - 150]; Genre=PARENTING; Installs=[1],1
Price=[150 - 200]; Genre=TOOLS; Installs=[1],5
Price=[0 - 50]; Genre=HOUSE_AND_HOME; Installs=[0],153
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[1],482
Price=[0 - 50]; Genre=PARENTING; Installs=[5],205
Price=[0 - 50]; Genre=SOCIAL; Installs=[1],2327
Price=[0 - 50]; Genre=PHOTOGRAPHY; Installs=[100000000],33
Price=[0 - 50]; Genre=MEDICAL; Installs=[5],2126
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[50],635
Price=[0 - 50]; Genre=MAPS_AND_NAVIGATION; Installs=[1000000],398
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[1],1122
Price=[50 - 100]; Genre=PERSONALIZATION; Installs=[5],1
Price=[0 - 50]; Genre=VIDEO_PLAYERS; Installs=[0],65
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[5],413
Price=[0 - 50]; Genre=SHOPPING; Installs=[100000],3032
Price=[100 - 150]; Genre=MEDICAL; Installs=[50],4
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[100000],1810
Price=[50 - 100]; Genre=LIFESTYLE; Installs=[100],3
Price=[0 - 50]; Genre=MEDICAL; Installs=[10000],4045
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[500],4803
Price=[0 - 50]; Genre=PARENTING; Installs=[500],427
Price=[50 - 100]; Genre=PERSONALIZATION; Installs=[0],1
Price=[0 - 50]; Genre=TRAVEL_AND_LOCAL; Installs=[100],19273
Price=[0 - 50]; Genre=TRAVEL_AND_LOCAL; Installs=[5000],4695
Price=[0 - 50]; Genre=MEDICAL; Installs=[500000],223
Price=[0 - 50]; Genre=HOUSE_AND_HOME; Installs=[10000000],11
Price=[0 - 50]; Genre=MUSIC_AND_AUDIO; Installs=[5000000],206
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[50000],1370
Price=[50 - 100]; Genre=TOOLS; Installs=[5],11
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[500],553
Price=[0 - 50]; Genre=TOOLS; Installs=[10000000],721
Price=[50 - 100]; Genre=PERSONALIZATION; Installs=[10000],1
Price=[50 - 100]; Genre=PRODUCTIVITY; Installs=[1],13
Price=[0 - 50]; Genre=SOCIAL; Installs=[50000],1528
Price=[0 - 50]; Genre=VIDEO_PLAYERS; Installs=[100],2292
Price=[0 - 50]; Genre=WEATHER; Installs=[50],504
Price=[0 - 50]; Genre=PERSONALIZATION; Installs=[0],1081
Price=[0 - 50]; Genre=SPORTS; Installs=[10000000],50
Price=[0 - 50]; Genre=SOCIAL; Installs=[5000000],141
Price=[0 - 50]; Genre=PARENTING; Installs=[5000],368
Price=[0 - 50]; Genre=MEDICAL; Installs=[50],4801
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[5],1459
Price=[300 - 350]; Genre=PRODUCTIVITY; Installs=[0],4
Price=[0 - 50]; Genre=MUSIC_AND_AUDIO; Installs=[100000000],34
Price=[50 - 100]; Genre=WEATHER; Installs=[10],1
Price=[50 - 100]; Genre=TOOLS; Installs=[50],4
Price=[0 - 50]; Genre=HOUSE_AND_HOME; Installs=[100000],162
Price=[0 - 50]; Genre=HOUSE_AND_HOME; Installs=[50000],116
Price=[0 - 50]; Genre=SHOPPING; Installs=[0],1615
Price=[0 - 50]; Genre=SPORTS; Installs=[0],370
Price=[0 - 50]; Genre=TRAVEL_AND_LOCAL; Installs=[5],3782
Price=[0 - 50]; Genre=SOCIAL; Installs=[1000000],675
Price=[350 - 400]; Genre=PHOTOGRAPHY; Installs=[0],1
Price=[200 - 250]; Genre=MEDICAL; Installs=[1],4
Price=[0 - 50]; Genre=MAPS_AND_NAVIGATION; Installs=[500000],378
Price=[0 - 50]; Genre=SHOPPING; Installs=[1],8034
Price=[0 - 50]; Genre=LIFESTYLE; Installs=[5000000],170
Price=[0 - 50]; Genre=PRODUCTIVITY; Installs=[5],7783
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[50],4311
Price=[0 - 50]; Genre=VIDEO_PLAYERS; Installs=[500],1142
Price=[0 - 50]; Genre=AUTO_AND_VEHICLES; Installs=[500000],167
Price=[0 - 50]; Genre=BEAUTY; Installs=[5000000],21
Price=[0 - 50]; Genre=BEAUTY; Installs=[10000000],12
Price=[0 - 50]; Genre=BOOKS_AND_REFERENCE; Installs=[10000000],63
Price=[0 - 50]; Genre=BOOKS_AND_REFERENCE; Installs=[100000000],5
Price=[0 - 50]; Genre=BOOKS_AND_REFERENCE; Installs=[1000000000],1
Price=[0 - 50]; Genre=BOOKS_AND_REFERENCE; Installs=[50000000],7
Price=[0 - 50]; Genre=BUSINESS; Installs=[50000000],7
Price=[0 - 50]; Genre=BUSINESS; Installs=[100000000],10
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[5000000],167
Price=[0 - 50]; Genre=EDUCATION; Installs=[100000000],7
Price=[150 - 200]; Genre=COMICS; Installs=[10000],1
Price=[0 - 50]; Genre=EDUCATION; Installs=[50000000],7
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[100000000],25
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[1000000000],11
Price=[0 - 50]; Genre=DATING; Installs=[5000000],27
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[500000000],9
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[100000000],39
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[500000000],3
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[10000000],172
Price=[200 - 250]; Genre=ENTERTAINMENT; Installs=[500],1
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[50000000],37
Price=[0 - 50]; Genre=LIFESTYLE; Installs=[50000000],13
Price=[50 - 100]; Genre=LIFESTYLE; Installs=[1000],3
Price=[0 - 50]; Genre=FOOD_AND_DRINK; Installs=[500000],302
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[50000],136
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[50000000],3
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[500000],38
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[5000000],6
Price=[0 - 50]; Genre=LIBRARIES_AND_DEMO; Installs=[10000000],5
Price=[0 - 50]; Genre=LIFESTYLE; Installs=[500000000],2
Price=[50 - 100]; Genre=AUTO_AND_VEHICLES; Installs=[1],2
Price=[50 - 100]; Genre=LIFESTYLE; Installs=[50],1
Price=[0 - 50]; Genre=MEDICAL; Installs=[5000000],23
Price=[0 - 50]; Genre=MAPS_AND_NAVIGATION; Installs=[50000000],7
Price=[50 - 100]; Genre=MAPS_AND_NAVIGATION; Installs=[50000],1
Price=[0 - 50]; Genre=MEDICAL; Installs=[10000000],26
Price=[0 - 50]; Genre=MEDICAL; Installs=[1000000],200
Price=[50 - 100]; Genre=MEDICAL; Installs=[5000],3
Price=[0 - 50]; Genre=MUSIC_AND_AUDIO; Installs=[1000000000],4
Price=[0 - 50]; Genre=MUSIC_AND_AUDIO; Installs=[50000000],37
Price=[0 - 50]; Genre=PARENTING; Installs=[5000000],14
Price=[0 - 50]; Genre=PERSONALIZATION; Installs=[100000000],16
Price=[0 - 50]; Genre=PERSONALIZATION; Installs=[500000000],2
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[1000000000],2
Price=[0 - 50]; Genre=PARENTING; Installs=[10000000],6
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[50000000],8
Price=[0 - 50]; Genre=PERSONALIZATION; Installs=[50000000],15
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[100000000],4
Price=[0 - 50]; Genre=PRODUCTIVITY; Installs=[50000000],24
Price=[0 - 50]; Genre=SHOPPING; Installs=[5000000],179
Price=[0 - 50]; Genre=PRODUCTIVITY; Installs=[1000000000],17
Price=[0 - 50]; Genre=SHOPPING; Installs=[500000000],4
Price=[0 - 50]; Genre=PRODUCTIVITY; Installs=[500000000],11
Price=[0 - 50]; Genre=PRODUCTIVITY; Installs=[100000000],20
Price=[0 - 50]; Genre=SPORTS; Installs=[5000000],52
Price=[0 - 50]; Genre=EVENTS; Installs=[500000],24
Price=[0 - 50]; Genre=SOCIAL; Installs=[100000000],17
Price=[50 - 100]; Genre=SPORTS; Installs=[100],13
Price=[50 - 100]; Genre=SPORTS; Installs=[500],1
Price=[0 - 50]; Genre=SOCIAL; Installs=[1000000000],5
Price=[0 - 50]; Genre=TOOLS; Installs=[500000000],12
Price=[250 - 300]; Genre=TOOLS; Installs=[10000],1
Price=[50 - 100]; Genre=TOOLS; Installs=[10000],1
Price=[150 - 200]; Genre=TOOLS; Installs=[500],1
Price=[0 - 50]; Genre=VIDEO_PLAYERS; Installs=[500000000],2
Price=[0 - 50]; Genre=GAME_ACTION; Installs=[500000000],7
Price=[50 - 100]; Genre=GAME_ACTION; Installs=[100],1
Price=[250 - 300]; Genre=GAME_ACTION; Installs=[10000],2
Price=[200 - 250]; Genre=GAME_ACTION; Installs=[10],2
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[100000000],11
Price=[0 - 50]; Genre=WEATHER; Installs=[10000000],69
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[50000000],22
Price=[0 - 50]; Genre=TRAVEL_AND_LOCAL; Installs=[50000000],14
Price=[0 - 50]; Genre=VIDEO_PLAYERS; Installs=[1000000000],1
Price=[0 - 50]; Genre=WEATHER; Installs=[50000000],6
Price=[0 - 50]; Genre=TRAVEL_AND_LOCAL; Installs=[500000000],3
Price=[0 - 50]; Genre=TRAVEL_AND_LOCAL; Installs=[100000000],7
Price=[0 - 50]; Genre=VIDEO_PLAYERS; Installs=[100000000],28
Price=[0 - 50]; Genre=TRAVEL_AND_LOCAL; Installs=[1000000000],1
Price=[0 - 50]; Genre=GAME_ACTION; Installs=[1000000000],1
Price=[350 - 400]; Genre=GAME_CASINO; Installs=[5],1
Price=[0 - 50]; Genre=EVENTS; Installs=[1000000],28
Price=[350 - 400]; Genre=GAME_EDUCATIONAL; Installs=[10000],1
Price=[0 - 50]; Genre=GAME_CASUAL; Installs=[500000000],5
Price=[0 - 50]; Genre=GAME_CARD; Installs=[50000000],7
Price=[350 - 400]; Genre=GAME_BOARD; Installs=[10000],1
Price=[0 - 50]; Genre=GAME_MUSIC; Installs=[5000000],41
Price=[150 - 200]; Genre=GAME_CASINO; Installs=[100],1
Price=[0 - 50]; Genre=GAME_BOARD; Installs=[50000000],12
Price=[0 - 50]; Genre=GAME_MUSIC; Installs=[100000000],6
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[100000000],7
Price=[0 - 50]; Genre=GAME_CASINO; Installs=[5000000],57
Price=[0 - 50]; Genre=GAME_BOARD; Installs=[500000000],1
Price=[50 - 100]; Genre=GAME_CARD; Installs=[100],2
Price=[0 - 50]; Genre=GAME_CASINO; Installs=[10000000],43
Price=[0 - 50]; Genre=GAME_CARD; Installs=[100000000],2
Price=[0 - 50]; Genre=GAME_CARD; Installs=[10000000],51
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[50000000],27
Price=[350 - 400]; Genre=GAME_CASUAL; Installs=[10000],1
Price=[0 - 50]; Genre=GAME_MUSIC; Installs=[500000000],1
Price=[0 - 50]; Genre=GAME_CASUAL; Installs=[100000000],36
Price=[0 - 50]; Genre=GAME_PUZZLE; Installs=[100000000],31
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[100000000],16
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[50000000],23
Price=[0 - 50]; Genre=GAME_WORD; Installs=[100000000],1
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[100000000],8
Price=[0 - 50]; Genre=GAME_RACING; Installs=[100000000],34
Price=[0 - 50]; Genre=GAME_WORD; Installs=[50000000],12
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[5000000],160
Price=[350 - 400]; Genre=GAME_PUZZLE; Installs=[1000],1
Price=[0 - 50]; Genre=GAME_RACING; Installs=[500000000],1
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[50000000],21
Price=[0 - 50]; Genre=GAME_TRIVIA; Installs=[100000000],2
Price=[0 - 50]; Genre=GAME_SIMULATION; Installs=[100000000],23
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[500000000],1
Price=[100 - 150]; Genre=GAME_PUZZLE; Installs=[100000],1
Price=[0 - 50]; Genre=GAME_TRIVIA; Installs=[5000000],48
Price=[250 - 300]; Genre=GAME_RACING; Installs=[5000],1
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[100000000],9
Price=[0 - 50]; Genre=WEATHER; Installs=[100000000],3
Price=[0 - 50]; Genre=MUSIC_AND_AUDIO; Installs=[500000000],2
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[500000000],2
Price=[0 - 50]; Genre=MAPS_AND_NAVIGATION; Installs=[500000000],1
Price=[0 - 50]; Genre=PERSONALIZATION; Installs=[1000000000],1
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[1000000000],2
Price=[0 - 50]; Genre=BUSINESS; Installs=[1000000000],2
Price=[0 - 50]; Genre=LIFESTYLE; Installs=[100000000],8
Price=[0 - 50]; Genre=PHOTOGRAPHY; Installs=[500000000],3
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[1000000000],1
Price=[50 - 100]; Genre=EDUCATION; Installs=[1000],6
Price=[0 - 50]; Genre=WEATHER; Installs=[1000000000],1
Price=[0 - 50]; Genre=MEDICAL; Installs=[50000000],1
Price=[0 - 50]; Genre=SPORTS; Installs=[100000000],2
Price=[0 - 50]; Genre=SPORTS; Installs=[50000000],3
Price=[0 - 50]; Genre=GAME_CASUAL; Installs=[1000000000],2
Price=[100 - 150]; Genre=PHOTOGRAPHY; Installs=[100000],1
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[500000000],1
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[500000000],1
Price=[50 - 100]; Genre=GAME_SIMULATION; Installs=[10000],1
Price=[100 - 150]; Genre=PRODUCTIVITY; Installs=[5000],1
Price=[450 - 500]; Genre=PRODUCTIVITY; Installs=[50000],1
Price=[250 - 300]; Genre=EDUCATION; Installs=[50000],1
Price=[0 - 50]; Genre=COMICS; Installs=[100000000],1
Price=[0 - 50]; Genre=SOCIAL; Installs=[500000000],3
Price=[100 - 150]; Genre=TOOLS; Installs=[0],5
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[500000000],1
Price=[250 - 300]; Genre=TOOLS; Installs=[0],2
Price=[300 - 350]; Genre=TOOLS; Installs=[0],2
Price=[50 - 100]; Genre=TOOLS; Installs=[10],13
Price=[400 - 450]; Genre=TOOLS; Installs=[10],1
Price=[350 - 400]; Genre=TOOLS; Installs=[50],2
Price=[50 - 100]; Genre=BUSINESS; Installs=[10],6
Price=[50 - 100]; Genre=TRAVEL_AND_LOCAL; Installs=[1],2
Price=[0 - 50]; Genre=AUTO_AND_VEHICLES; Installs=[1000000000],1
Price=[100 - 150]; Genre=TOOLS; Installs=[1],6
Price=[200 - 250]; Genre=TOOLS; Installs=[1],2
Price=[300 - 350]; Genre=TOOLS; Installs=[10],3
Price=[50 - 100]; Genre=BUSINESS; Installs=[10000],1
Price=[300 - 350]; Genre=TOOLS; Installs=[1],5
Price=[100 - 150]; Genre=TOOLS; Installs=[10],9
Price=[150 - 200]; Genre=TOOLS; Installs=[0],1
Price=[200 - 250]; Genre=TOOLS; Installs=[10],3
Price=[350 - 400]; Genre=TOOLS; Installs=[5],4
Price=[300 - 350]; Genre=TRAVEL_AND_LOCAL; Installs=[0],1
Price=[150 - 200]; Genre=TOOLS; Installs=[10],3
Price=[200 - 250]; Genre=TOOLS; Installs=[0],7
Price=[250 - 300]; Genre=TOOLS; Installs=[1],5
Price=[350 - 400]; Genre=TOOLS; Installs=[10],13
Price=[250 - 300]; Genre=BUSINESS; Installs=[100],1
Price=[50 - 100]; Genre=TOOLS; Installs=[1],17
Price=[300 - 350]; Genre=TOOLS; Installs=[5],1
Price=[350 - 400]; Genre=TOOLS; Installs=[0],6
Price=[250 - 300]; Genre=TOOLS; Installs=[5],2
Price=[50 - 100]; Genre=BUSINESS; Installs=[50000],1
Price=[50 - 100]; Genre=TOOLS; Installs=[0],10
Price=[350 - 400]; Genre=VIDEO_PLAYERS; Installs=[10],1
Price=[200 - 250]; Genre=HEALTH_AND_FITNESS; Installs=[50],1
Price=[350 - 400]; Genre=HEALTH_AND_FITNESS; Installs=[10],1
Price=[50 - 100]; Genre=HEALTH_AND_FITNESS; Installs=[50],5
Price=[100 - 150]; Genre=NEWS_AND_MAGAZINES; Installs=[1],2
Price=[50 - 100]; Genre=HEALTH_AND_FITNESS; Installs=[0],1
Price=[50 - 100]; Genre=WEATHER; Installs=[1],1
Price=[150 - 200]; Genre=HEALTH_AND_FITNESS; Installs=[10],1
Price=[200 - 250]; Genre=MUSIC_AND_AUDIO; Installs=[1],1
Price=[50 - 100]; Genre=VIDEO_PLAYERS; Installs=[1],3
Price=[150 - 200]; Genre=HEALTH_AND_FITNESS; Installs=[1],1
Price=[200 - 250]; Genre=HEALTH_AND_FITNESS; Installs=[100],1
Price=[50 - 100]; Genre=HOUSE_AND_HOME; Installs=[10],1
Price=[50 - 100]; Genre=VIDEO_PLAYERS; Installs=[1000],1
Price=[200 - 250]; Genre=NEWS_AND_MAGAZINES; Installs=[0],1
Price=[350 - 400]; Genre=PERSONALIZATION; Installs=[10],1
Price=[50 - 100]; Genre=VIDEO_PLAYERS; Installs=[0],1
Price=[200 - 250]; Genre=HEALTH_AND_FITNESS; Installs=[10],1
Price=[50 - 100]; Genre=MUSIC_AND_AUDIO; Installs=[5],1
Price=[50 - 100]; Genre=HEALTH_AND_FITNESS; Installs=[100],5
Price=[350 - 400]; Genre=MUSIC_AND_AUDIO; Installs=[0],1
Price=[50 - 100]; Genre=MUSIC_AND_AUDIO; Installs=[100],3
Price=[50 - 100]; Genre=VIDEO_PLAYERS; Installs=[5],1
Price=[300 - 350]; Genre=VIDEO_PLAYERS; Installs=[1],1
Price=[50 - 100]; Genre=PERSONALIZATION; Installs=[10],2
Price=[50 - 100]; Genre=PARENTING; Installs=[1],2
Price=[50 - 100]; Genre=WEATHER; Installs=[500],1
Price=[100 - 150]; Genre=HOUSE_AND_HOME; Installs=[1],1
Price=[100 - 150]; Genre=WEATHER; Installs=[5000],1
Price=[50 - 100]; Genre=VIDEO_PLAYERS; Installs=[100],1
Price=[100 - 150]; Genre=VIDEO_PLAYERS; Installs=[0],2
Price=[50 - 100]; Genre=HEALTH_AND_FITNESS; Installs=[10],5
Price=[150 - 200]; Genre=MUSIC_AND_AUDIO; Installs=[0],1
Price=[350 - 400]; Genre=HEALTH_AND_FITNESS; Installs=[0],2
Price=[150 - 200]; Genre=HEALTH_AND_FITNESS; Installs=[50],1
Price=[100 - 150]; Genre=HEALTH_AND_FITNESS; Installs=[1],2
Price=[50 - 100]; Genre=HEALTH_AND_FITNESS; Installs=[1],4
Price=[200 - 250]; Genre=VIDEO_PLAYERS; Installs=[1],1
Price=[200 - 250]; Genre=MUSIC_AND_AUDIO; Installs=[10],1
Price=[350 - 400]; Genre=MUSIC_AND_AUDIO; Installs=[10],1
Price=[50 - 100]; Genre=MUSIC_AND_AUDIO; Installs=[1],1
Price=[50 - 100]; Genre=NEWS_AND_MAGAZINES; Installs=[0],1
Price=[100 - 150]; Genre=PERSONALIZATION; Installs=[1],1
Price=[0 - 50]; Genre=HOUSE_AND_HOME; Installs=[5000000],6
Price=[100 - 150]; Genre=MUSIC_AND_AUDIO; Installs=[1],1
Price=[50 - 100]; Genre=HEALTH_AND_FITNESS; Installs=[5],2
Price=[50 - 100]; Genre=WEATHER; Installs=[0],1
Price=[100 - 150]; Genre=PERSONALIZATION; Installs=[10],1
Price=[350 - 400]; Genre=HEALTH_AND_FITNESS; Installs=[1],1
Price=[50 - 100]; Genre=GAME_WORD; Installs=[5],1
Price=[50 - 100]; Genre=GAME_SPORTS; Installs=[100],1
Price=[100 - 150]; Genre=GAME_STRATEGY; Installs=[10],1
Price=[250 - 300]; Genre=LIFESTYLE; Installs=[1],1
Price=[350 - 400]; Genre=GAME_SIMULATION; Installs=[5],2
Price=[50 - 100]; Genre=MEDICAL; Installs=[5],14
Price=[350 - 400]; Genre=GAME_STRATEGY; Installs=[1],2
Price=[50 - 100]; Genre=MEDICAL; Installs=[100],3
Price=[350 - 400]; Genre=GAME_PUZZLE; Installs=[500],1
Price=[150 - 200]; Genre=MEDICAL; Installs=[100],1
Price=[350 - 400]; Genre=GAME_PUZZLE; Installs=[5],1
Price=[50 - 100]; Genre=MAPS_AND_NAVIGATION; Installs=[100],3
Price=[50 - 100]; Genre=GAME_EDUCATIONAL; Installs=[1],2
Price=[350 - 400]; Genre=MUSIC_AND_AUDIO; Installs=[5],1
Price=[250 - 300]; Genre=GAME_PUZZLE; Installs=[1],1
Price=[350 - 400]; Genre=GAME_PUZZLE; Installs=[0],5
Price=[150 - 200]; Genre=GAME_TRIVIA; Installs=[100],1
Price=[150 - 200]; Genre=MAPS_AND_NAVIGATION; Installs=[50],1
Price=[200 - 250]; Genre=GAME_PUZZLE; Installs=[0],1
Price=[100 - 150]; Genre=LIFESTYLE; Installs=[1],2
Price=[300 - 350]; Genre=LIFESTYLE; Installs=[1],1
Price=[50 - 100]; Genre=LIBRARIES_AND_DEMO; Installs=[5],1
Price=[350 - 400]; Genre=LIFESTYLE; Installs=[0],4
Price=[100 - 150]; Genre=GAME_PUZZLE; Installs=[0],1
Price=[100 - 150]; Genre=MEDICAL; Installs=[1],4
Price=[0 - 50]; Genre=HEALTH_AND_FITNESS; Installs=[50000000],7
Price=[350 - 400]; Genre=GAME_PUZZLE; Installs=[10000],1
Price=[100 - 150]; Genre=MEDICAL; Installs=[5],7
Price=[350 - 400]; Genre=MUSIC_AND_AUDIO; Installs=[1000],1
Price=[150 - 200]; Genre=GAME_PUZZLE; Installs=[0],1
Price=[250 - 300]; Genre=LIFESTYLE; Installs=[100],1
Price=[150 - 200]; Genre=GAME_PUZZLE; Installs=[1000],1
Price=[350 - 400]; Genre=GAME_CASUAL; Installs=[5],3
Price=[150 - 200]; Genre=MEDICAL; Installs=[0],2
Price=[50 - 100]; Genre=MUSIC_AND_AUDIO; Installs=[10],1
Price=[200 - 250]; Genre=MEDICAL; Installs=[10],3
Price=[200 - 250]; Genre=GAME_PUZZLE; Installs=[1],2
Price=[200 - 250]; Genre=GAME_SPORTS; Installs=[0],1
Price=[250 - 300]; Genre=GAME_PUZZLE; Installs=[0],1
Price=[250 - 300]; Genre=GAME_SPORTS; Installs=[1],1
Price=[150 - 200]; Genre=LIFESTYLE; Installs=[0],1
Price=[50 - 100]; Genre=GAME_MUSIC; Installs=[10],1
Price=[50 - 100]; Genre=GAME_TRIVIA; Installs=[0],3
Price=[100 - 150]; Genre=MEDICAL; Installs=[1000],1
Price=[100 - 150]; Genre=MAPS_AND_NAVIGATION; Installs=[5],1
Price=[50 - 100]; Genre=MEDICAL; Installs=[1000],3
Price=[300 - 350]; Genre=GAME_ROLE_PLAYING; Installs=[100],1
Price=[350 - 400]; Genre=LIFESTYLE; Installs=[10],1
Price=[50 - 100]; Genre=LIFESTYLE; Installs=[10],1
Price=[50 - 100]; Genre=GAME_CASUAL; Installs=[1],1
Price=[350 - 400]; Genre=GAME_EDUCATIONAL; Installs=[10],1
Price=[350 - 400]; Genre=GAME_WORD; Installs=[0],1
Price=[200 - 250]; Genre=LIFESTYLE; Installs=[1],1
Price=[100 - 150]; Genre=LIBRARIES_AND_DEMO; Installs=[1],1
Price=[50 - 100]; Genre=MUSIC_AND_AUDIO; Installs=[500],1
Price=[350 - 400]; Genre=MUSIC_AND_AUDIO; Installs=[1],1
Price=[50 - 100]; Genre=LIFESTYLE; Installs=[0],1
Price=[200 - 250]; Genre=GAME_EDUCATIONAL; Installs=[0],1
Price=[100 - 150]; Genre=LIFESTYLE; Installs=[1000],1
Price=[150 - 200]; Genre=MAPS_AND_NAVIGATION; Installs=[5],1
Price=[350 - 400]; Genre=GAME_STRATEGY; Installs=[10],1
Price=[350 - 400]; Genre=LIFESTYLE; Installs=[1],3
Price=[50 - 100]; Genre=LIBRARIES_AND_DEMO; Installs=[10],1
Price=[150 - 200]; Genre=LIFESTYLE; Installs=[1],1
Price=[50 - 100]; Genre=GAME_PUZZLE; Installs=[10],5
Price=[350 - 400]; Genre=GAME_PUZZLE; Installs=[1],1
Price=[0 - 50]; Genre=HEALTH_AND_FITNESS; Installs=[100000000],3
Price=[150 - 200]; Genre=GAME_WORD; Installs=[1],1
Price=[350 - 400]; Genre=LIFESTYLE; Installs=[10000],1
Price=[50 - 100]; Genre=LIFESTYLE; Installs=[5],1
Price=[350 - 400]; Genre=GAME_CASUAL; Installs=[0],2
Price=[100 - 150]; Genre=GAME_EDUCATIONAL; Installs=[0],1
Price=[250 - 300]; Genre=MEDICAL; Installs=[10],1
Price=[300 - 350]; Genre=GAME_PUZZLE; Installs=[5],1
Price=[350 - 400]; Genre=MAPS_AND_NAVIGATION; Installs=[5],1
Price=[250 - 300]; Genre=LIFESTYLE; Installs=[0],1
Price=[350 - 400]; Genre=LIBRARIES_AND_DEMO; Installs=[1],1
Price=[300 - 350]; Genre=LIFESTYLE; Installs=[5],1
Price=[50 - 100]; Genre=MAPS_AND_NAVIGATION; Installs=[0],1
Price=[150 - 200]; Genre=GAME_CASUAL; Installs=[0],1
Price=[100 - 150]; Genre=MAPS_AND_NAVIGATION; Installs=[100],1
Price=[50 - 100]; Genre=MAPS_AND_NAVIGATION; Installs=[50],1
Price=[300 - 350]; Genre=GAME_SPORTS; Installs=[0],1
Price=[250 - 300]; Genre=GAME_PUZZLE; Installs=[5],1
Price=[150 - 200]; Genre=MEDICAL; Installs=[10],3
Price=[50 - 100]; Genre=LIFESTYLE; Installs=[1],4
Price=[200 - 250]; Genre=MEDICAL; Installs=[0],2
Price=[50 - 100]; Genre=MAPS_AND_NAVIGATION; Installs=[10],2
Price=[350 - 400]; Genre=GAME_CASUAL; Installs=[1],1
Price=[50 - 100]; Genre=GAME_CASUAL; Installs=[0],2
Price=[150 - 200]; Genre=GAME_CASUAL; Installs=[1],1
Price=[100 - 150]; Genre=HEALTH_AND_FITNESS; Installs=[5],1
Price=[50 - 100]; Genre=GAME_PUZZLE; Installs=[5],1
