metric,value
Free=true; Genre=HEALTH_AND_FITNESS; Year=2022,17464
Free=true; Genre=PARENTING; Year=2022,865
Free=true; Genre=GAME_CASUAL; Year=2021,22206
Free=true; Genre=FINANCE; Year=2018,10268
Free=false; Genre=ENTERTAINMENT; Year=2012,147
Free=true; Genre=GAME_CASUAL; Year=2019,9137
Free=true; Genre=ENTERTAINMENT; Year=2021,50137
Free=true; Genre=GAME_PUZZLE; Year=2020,13475
Free=true; Genre=GAME_ARCADE; Year=2018,5410
Free=true; Genre=GAME_CASUAL; Year=2014,2115
Free=true; Genre=FINANCE; Year=2020,19780
Free=false; Genre=GAME_ARCADE; Year=2013,136
Free=false; Genre=GAME_CASUAL; Year=2022,193
Free=true; Genre=HEALTH_AND_FITNESS; Year=2020,3978
Free=false; Genre=GAME_ADVENTURE; Year=2017,230
Free=true; Genre=GAME_PUZZLE; Year=2016,3398
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2019,966
Free=false; Genre=COMICS; Year=2019,14
Free=true; Genre=GAME_MUSIC; Year=2015,128
Free=false; Genre=GAME_STRATEGY; Year=2018,72
Free=true; Genre=EDUCATION; Year=2016,15333
Free=true; Genre=SPORTS; Year=2021,11164
Free=false; Genre=GAME_ARCADE; Year=2017,131
Free=true; Genre=GAME_CARD; Year=2013,332
Free=false; Genre=GAME_CASUAL; Year=2011,58
Free=true; Genre=ART_AND_DESIGN; Year=2021,5070
Free=true; Genre=AUTO_AND_VEHICLES; Year=2015,211
Free=true; Genre=GAME_CARD; Year=2014,424
Free=false; Genre=GAME_STRATEGY; Year=2020,107
Free=true; Genre=GAME_WORD; Year=2020,2931
Free=true; Genre=GAME_STRATEGY; Year=2022,3470
Free=false; Genre=GAME_ARCADE; Year=2014,92
Free=true; Genre=GAME_BOARD; Year=2014,437
Free=true; Genre=GAME_RACING; Year=2013,207
Free=true; Genre=EDUCATION; Year=2015,9806
Free=true; Genre=GAME_ADVENTURE; Year=2016,1244
Free=true; Genre=GAME_BOARD; Year=2013,185
Free=false; Genre=FINANCE; Year=2015,71
Free=false; Genre=GAME_PUZZLE; Year=2012,175
Free=true; Genre=ENTERTAINMENT; Year=2022,47950
Free=true; Genre=GAME_ACTION; Year=2022,9073
Free=true; Genre=FINANCE; Year=2019,15261
Free=false; Genre=GAME_EDUCATIONAL; Year=2011,9
Free=false; Genre=FOOD_AND_DRINK; Year=2019,152
Free=true; Genre=GAME_SPORTS; Year=2020,1744
Free=false; Genre=GAME_RACING; Year=2022,42
Free=true; Genre=GAME_TRIVIA; Year=2018,1270
Free=false; Genre=COMICS; Year=2021,14
Free=false; Genre=GAME_RACING; Year=2018,21
Free=true; Genre=GAME_STRATEGY; Year=2018,1002
Free=true; Genre=AUTO_AND_VEHICLES; Year=2018,3866
Free=true; Genre=COMICS; Year=2017,193
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2013,674
Free=true; Genre=GAME_ADVENTURE; Year=2020,6122
Free=false; Genre=GAME_BOARD; Year=2017,78
Free=true; Genre=GAME_TRIVIA; Year=2013,130
Free=false; Genre=EDUCATION; Year=2022,1001
Free=true; Genre=GAME_SIMULATION; Year=2021,8130
Free=true; Genre=SOCIAL; Year=2022,11223
Free=true; Genre=GAME_CARD; Year=2018,842
Free=false; Genre=GAME_SPORTS; Year=2017,34
Free=true; Genre=ART_AND_DESIGN; Year=2017,1467
Free=true; Genre=GAME_CASINO; Year=2022,2440
Free=true; Genre=GAME_CASUAL; Year=2012,537
Free=true; Genre=BUSINESS; Year=2017,16764
Free=true; Genre=FOOD_AND_DRINK; Year=2019,22391
Free=true; Genre=DATING; Year=2019,1365
Free=true; Genre=GAME_STRATEGY; Year=2019,1745
Free=true; Genre=GAME_CASINO; Year=2018,501
Free=false; Genre=GAME_PUZZLE; Year=2021,400
Free=true; Genre=GAME_TRIVIA; Year=2017,1047
Free=true; Genre=COMMUNICATION; Year=2021,16165
Free=false; Genre=COMICS; Year=2014,5
Free=true; Genre=COMICS; Year=2021,485
Free=true; Genre=SHOPPING; Year=2019,20381
Free=true; Genre=GAME_ARCADE; Year=2022,13634
Free=false; Genre=GAME_ARCADE; Year=2019,277
Free=true; Genre=BEAUTY; Year=2022,3442
Free=true; Genre=BOOKS_AND_REFERENCE; Year=2012,1328
Free=true; Genre=BUSINESS; Year=2022,28405
Free=true; Genre=COMICS; Year=2018,245
Free=false; Genre=COMMUNICATION; Year=2012,58
Free=true; Genre=FOOD_AND_DRINK; Year=2017,9734
Free=false; Genre=GAME_EDUCATIONAL; Year=2016,294
Free=true; Genre=WEATHER; Year=2019,1355
Free=true; Genre=GAME_ROLE_PLAYING; Year=2012,62
Free=true; Genre=EDUCATION; Year=2022,55706
Free=true; Genre=COMMUNICATION; Year=2013,693
Free=true; Genre=ENTERTAINMENT; Year=2016,6478
Free=false; Genre=GAME_ACTION; Year=2019,213
Free=false; Genre=FINANCE; Year=2020,233
Free=true; Genre=GAME_ACTION; Year=2011,26
Free=false; Genre=GAME_MUSIC; Year=2020,37
Free=true; Genre=BOOKS_AND_REFERENCE; Year=2020,24984
Free=true; Genre=HEALTH_AND_FITNESS; Year=2021,7924
Free=true; Genre=GAME_SIMULATION; Year=2015,1142
Free=true; Genre=PHOTOGRAPHY; Year=2021,7075
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2021,544
Free=true; Genre=BUSINESS; Year=2018,25573
Free=true; Genre=COMICS; Year=2013,65
Free=true; Genre=WEATHER; Year=2022,1018
Free=false; Genre=GAME_CASUAL; Year=2020,334
Free=false; Genre=HEALTH_AND_FITNESS; Year=2015,222
Free=true; Genre=BOOKS_AND_REFERENCE; Year=2019,22442
Free=true; Genre=TRAVEL_AND_LOCAL; Year=2020,15222
Free=true; Genre=GAME_ADVENTURE; Year=2015,770
Free=true; Genre=GAME_ARCADE; Year=2011,237
Free=true; Genre=GAME_SPORTS; Year=2021,2063
Free=false; Genre=ENTERTAINMENT; Year=2019,563
Free=false; Genre=BEAUTY; Year=2022,2
Free=false; Genre=GAME_ADVENTURE; Year=2014,91
